id,name,popularity,genres,spotify_url
1Dvfqq39HxvCJ3GvfeIFuT,Mastodon,59,"['progressive metal', 'sludge metal', 'stoner metal', 'metal', 'groove metal', 'stoner rock']",https://open.spotify.com/artist/1Dvfqq39HxvCJ3GvfeIFuT
0GDGKpJFhVpcjIGF8N6Ewt,Gojira,66,"['groove metal', 'progressive metal', 'metal', 'death metal', 'djent']",https://open.spotify.com/artist/0GDGKpJFhVpcjIGF8N6Ewt
7o6cOczXTB8ioTAAJTbESf,Jinjer,55,"['metal', 'djent', 'progressive metal', 'groove metal', 'metalcore']",https://open.spotify.com/artist/7o6cOczXTB8ioTAAJTbESf
2yEwvVSSSUkcLeSTNyHKh8,TOOL,73,"['progressive metal', 'alternative metal', 'progressive rock', 'metal']",https://open.spotify.com/artist/2yEwvVSSSUkcLeSTNyHKh8
4OAddazJM576euUnFSvXSL,Lacuna Coil,55,"['gothic metal', 'symphonic metal', 'gothic rock', 'metal']",https://open.spotify.com/artist/4OAddazJM576euUnFSvXSL
2IZkG4M2WcpLtfraGYJISf,Eths,34,['nu metal'],https://open.spotify.com/artist/2IZkG4M2WcpLtfraGYJISf
2vov4zolAP7zbIhB5CsIPm,Alien Weaponry,41,"['groove metal', 'thrash metal', 'metal']",https://open.spotify.com/artist/2vov4zolAP7zbIhB5CsIPm
1MK0sGeyTNkbefYGj673e9,Behemoth,51,"['black metal', 'death metal', 'metal']",https://open.spotify.com/artist/1MK0sGeyTNkbefYGj673e9
0w1xNkvjKVskWP7GvbiwRB,Crypta,36,['death metal'],https://open.spotify.com/artist/0w1xNkvjKVskWP7GvbiwRB
5HA5aLY3jJV7eimXWkRBBp,Epica,57,"['symphonic metal', 'gothic metal', 'power metal', 'metal', 'folk metal', 'gothic rock']",https://open.spotify.com/artist/5HA5aLY3jJV7eimXWkRBBp
1Qp56T7n950O3EGMsSl81D,Ghost,74,"['metal', 'hard rock']",https://open.spotify.com/artist/1Qp56T7n950O3EGMsSl81D
74aLweE8FHHf4yN5TWv1GM,HIM,67,"['gothic metal', 'gothic rock', 'finnish rock']",https://open.spotify.com/artist/74aLweE8FHHf4yN5TWv1GM
3kNqzLmW33fQIfmZ1OfqMA,DIR EN GREY,49,['visual kei'],https://open.spotify.com/artist/3kNqzLmW33fQIfmZ1OfqMA
5MlEt7qqXqNSReeX76xK6b,Septicflesh,43,"['death metal', 'symphonic metal', 'melodic death metal', 'black metal', 'metal']",https://open.spotify.com/artist/5MlEt7qqXqNSReeX76xK6b
1n65zfwYIj5kKEtNgxUlWb,Siouxsie and the Banshees,60,"['gothic rock', 'post-punk', 'darkwave', 'new wave', 'deathrock', 'cold wave']",https://open.spotify.com/artist/1n65zfwYIj5kKEtNgxUlWb
4HxBVyHaUa60eCSsJWxwWR,Sisters of Mercy,57,"['gothic rock', 'darkwave', 'post-punk', 'deathrock', 'cold wave', 'new wave', 'gothic metal']",https://open.spotify.com/artist/4HxBVyHaUa60eCSsJWxwWR
5QeGMmMBYG14aeTzkVny1l,VV,41,"['gothic metal', 'gothic rock']",https://open.spotify.com/artist/5QeGMmMBYG14aeTzkVny1l
762310PdDnwsDxAQxzQkfX,Depeche Mode,76,"['new wave', 'synthpop', 'darkwave']",https://open.spotify.com/artist/762310PdDnwsDxAQxzQkfX
432R46LaYsJZV2Gmc4jUV5,Joy Division,64,"['post-punk', 'new wave', 'gothic rock', 'darkwave', 'madchester', 'cold wave']",https://open.spotify.com/artist/432R46LaYsJZV2Gmc4jUV5
51mEqzVhG2n9nD2kBAnWer,London After Midnight,50,"['gothic rock', 'deathrock', 'darkwave', 'post-punk', 'gothic metal', 'cold wave']",https://open.spotify.com/artist/51mEqzVhG2n9nD2kBAnWer
